CVE,DESCRIP,EDAD_NUM,RANGO_EDAD
1001,Una hora                       ,0,00_04
1002,Dos horas                      ,0,00_04
1003,Tres horas                     ,0,00_04
1004,Cuatro horas                   ,0,00_04
1005,Cinco horas                    ,0,00_04
1006,Seis horas                     ,0,00_04
1007,Siete horas                    ,0,00_04
1008,Ocho horas                     ,0,00_04
1009,Nueve horas                    ,0,00_04
1010,Diez horas                     ,0,00_04
1011,Once horas                     ,0,00_04
1012,Doce horas                     ,0,00_04
1013,Trece horas                    ,0,00_04
1014,Catorce horas                  ,0,00_04
1015,Quince horas                   ,0,00_04
1016,Dieciseis horas                ,0,00_04
1017,Diecisiete horas               ,0,00_04
1018,Dieciocho horas                ,0,00_04
1019,Diecinueve horas               ,0,00_04
1020,Veinte horas                   ,0,00_04
1021,Veintiuna horas                ,0,00_04
1022,Veintidos horas                ,0,00_04
1023,Veintitres horas               ,0,00_04
1097,Edad en minutos                ,0,00_04
1098,Edad en horas no especificada  ,0,00_04
2001,Un dia                         ,0,00_04
2002,Dos dias                       ,0,00_04
2003,Tres dias                      ,0,00_04
2004,Cuatro dias                    ,0,00_04
2005,Cinco dias                     ,0,00_04
2006,Seis dias                      ,0,00_04
2007,Siete dias                     ,0,00_04
2008,Ocho dias                      ,0,00_04
2009,Nueve dias                     ,0,00_04
2010,Diez dias                      ,0,00_04
2011,Once dias                      ,0,00_04
2012,Doce dias                      ,0,00_04
2013,Trece dias                     ,0,00_04
2014,Catorce dias                   ,0,00_04
2015,Quince dias                    ,0,00_04
2016,Dieciseis dias                 ,0,00_04
2017,Diecisiete dias                ,0,00_04
2018,Dieciocho dias                 ,0,00_04
2019,Diecinueve dias                ,0,00_04
2020,Veinte dias                    ,0,00_04
2021,Veintiun dias                  ,0,00_04
2022,Veintidos dias                 ,0,00_04
2023,Veintitres dias                ,0,00_04
2024,Veinticuatro dias              ,0,00_04
2025,Veinticinco dias               ,0,00_04
2026,Veintiseis dias                ,0,00_04
2027,Veintisiete dias               ,0,00_04
2028,Veintiocho dias                ,0,00_04
2029,Veintinueve dias               ,0,00_04
2098,Edad en dias no especificada   ,0,00_04
3001,Un mes                         ,0,00_04
3002,Dos meses                      ,0,00_04
3003,Tres meses                     ,0,00_04
3004,Cuatro meses                   ,0,00_04
3005,Cinco meses                    ,0,00_04
3006,Seis meses                     ,0,00_04
3007,Siete meses                    ,0,00_04
3008,Ocho meses                     ,0,00_04
3009,Nueve meses                    ,0,00_04
3010,Diez meses                     ,0,00_04
3011,Once meses                     ,0,00_04
3098,Edad en meses no especificada  ,0,00_04
4001,Un año                         ,1,00_04
4002,Dos años                       ,2,00_04
4003,Tres años                      ,3,00_04
4004,Cuatro años                    ,4,00_04
4005,Cinco años                     ,5,05_14
4006,Seis años                      ,6,05_14
4007,Siete años                     ,7,05_14
4008,Ocho años                      ,8,05_14
4009,Nueve años                     ,9,05_14
4010,Diez años                      ,10,05_14
4011,Once años                      ,11,05_14
4012,Doce años                      ,12,05_14
4013,Trece años                     ,13,05_14
4014,Catorce años                   ,14,05_14
4015,Quince años                    ,15,15_24
4016,Dieciseis años                 ,16,15_24
4017,Diecisiete años                ,17,15_24
4018,Dieciocho años                 ,18,15_24
4019,Diecinueve años                ,19,15_24
4020,Veinte años                    ,20,15_24
4021,Veintiun años                  ,21,15_24
4022,Veintidos años                 ,22,15_24
4023,Veintitres años                ,23,15_24
4024,Veinticuatro años              ,24,15_24
4025,Veinticinco años               ,25,25_44
4026,Veintiseis años                ,26,25_44
4027,Veintisiete años               ,27,25_44
