ANIO_REGIS,ENT_OCURR,SEXO,TOTAL,00_04,05_14,15_24,25_44,45_64,>65
2000,1,Hombres,469499,62210,116644,92190,126117,53616,18722
2000,1,Mujeres,494511,59971,114079,98873,139521,58733,23334
2000,1,Total,964010,122181,230723,191063,265638,112349,42056
2000,2,Hombres,1264712,146904,275940,248288,398606,150067,44907
2000,2,Mujeres,1228963,140619,263700,242891,378603,151571,51579
2000,2,Total,2493675,287523,539640,491179,777209,301638,96486
2000,3,Hombres,222978,24386,47916,44152,69645,28440,8439
2000,3,Mujeres,211340,23299,45303,42196,65452,26174,8916
2000,3,Total,434318,47685,93219,86348,135097,54614,17355
2000,4,Hombres,353252,42444,83783,69970,97417,43511,16127
2000,4,Mujeres,351108,41131,81553,71770,98704,42175,15775
2000,4,Total,704360,83575,165336,141740,196121,85686,31902
2000,5,Hombres,1165969,136472,259819,226636,338857,152036,52149
2000,5,Mujeres,1169018,131183,249523,226275,345003,156837,60197
2000,5,Total,2334987,267655,509342,452911,683860,308873,112346
2000,6,Hombres,270571,30650,61110,52812,76788,35963,13248
2000,6,Mujeres,273609,29094,58554,54598,80312,36268,14783
2000,6,Total,544180,59744,119664,107410,157100,72231,28031
2000,7,Hombres,1980471,274639,521725,400614,493793,217050,72650
2000,7,Mujeres,1998407,265692,510130,419435,516230,213056,73864
2000,7,Total,3978878,540331,1031855,820049,1010023,430106,146514
2000,8,Hombres,1542440,179848,344653,298942,454508,195404,69085
2000,8,Mujeres,1535841,172786,330572,294678,454940,204311,78554
2000,8,Total,3078281,352634,675225,593620,909448,399715,147639
2000,9,Hombres,4156737,385462,797747,796600,1346228,621726,208974
2000,9,Mujeres,4484256,370169,778068,832789,1454446,733532,315252
2000,9,Total,8640993,755631,1575815,1629389,2800674,1355258,524226
2000,10,Hombres,725121,91988,177703,140530,186267,91162,37471
2000,10,Mujeres,745304,88330,172105,146215,201870,96184,40600
2000,10,Total,1470425,180318,349808,286745,388137,187346,78071
2000,11,Hombres,2279808,300690,577856,448825,581403,263992,107042
2000,11,Mujeres,2448352,290211,572839,501691,665646,290657,127308
2000,11,Total,4728160,590901,1150695,950516,1247049,554649,234350
2000,12,Hombres,1522884,212317,406191,296519,356932,177717,73208
2000,12,Mujeres,1600654,205516,398157,318208,398279,194584,85910
2000,12,Total,3123538,417833,804348,614727,755211,372301,159118
2000,13,Hombres,1110646,138412,273409,213063,287235,143718,54809
2000,13,Mujeres,1168719,133212,267609,231444,321107,150617,64730
2000,13,Total,2279365,271624,541018,444507,608342,294335,119539
2000,14,Hombres,3139924,384230,739774,619619,846633,395518,154150
2000,14,Mujeres,3279764,368954,718783,653448,922077,429512,186990
2000,14,Total,6419688,753184,1458557,1273067,1768710,825030,341140
2000,15,Hombres,6509178,752292,1490630,1304361,1931040,802563,228292
2000,15,Mujeres,6720125,725737,1453393,1356861,2044023,851322,288789
2000,15,Total,13229303,1478029,2944023,2661222,3975063,1653885,517081
2000,16,Hombres,1950773,252585,493854,381084,477297,238737,107216
2000,16,Mujeres,2088476,243863,488585,423796,546546,261619,124067
2000,16,Total,4039249,496448,982439,804880,1023843,500356,231283
2000,17,Hombres,762363,90053,177320,145972,207591,101883,39544
2000,17,Mujeres,807567,87100,173100,157233,232094,110723,47317
2000,17,Total,1569930,177153,350420,303205,439685,212606,86861
2000,18,Hombres,465708,55049,109372,89498,121246,63723,26820
2000,18,Mujeres,467737,52730,105033,91570,126683,63476,28245
2000,18,Total,933445,107779,214405,181068,247929,127199,55065
2000,19,Hombres,1945292,207462,399865,381544,605967,262909,87545
2000,19,Mujeres,1937855,198882,384401,378456,600080,270975,105061
2000,19,Total,3883147,406344,784266,760000,1206047,533884,192606
2000,20,Hombres,1698292,221231,443271,326193,401226,212851,93520
2000,20,Mujeres,1801367,214365,435320,352254,453343,236483,109602
2000,20,Total,3499659,435596,878591,678447,854569,449334,203122
2000,21,Hombres,2508433,333730,629717,494438,634892,297101,118555
2000,21,Mujeres,2661493,322852,618098,529631,707823,334061,149028
2000,21,Total,5169926,656582,1247815,1024069,1342715,631162,267583
2000,22,Hombres,700483,89179,173112,141287,191571,78670,26664
2000,22,Mujeres,734614,86163,171059,152822,208528,83397,32645
2000,22,Total,1435097,175342,344171,294109,400099,162067,59309
2000,23,Hombres,465326,58433,106016,95834,146290,47243,11510
2000,23,Mujeres,438597,56416,101676,92605,135074,42132,10694
2000,23,Total,903923,114849,207692,188439,281364,89375,22204
2000,24,Hombres,1147541,147796,285612,219387,287578,144686,62482
2000,24,Mujeres,1190619,142828,278867,233463,314593,152098,68770
2000,24,Total,2338160,290624,564479,452850,602171,296784,131252
2000,25,Hombres,1285729,147770,296806,254090,353771,171125,62167
2000,25,Mujeres,1278404,141916,284232,253569,362143,169686,66858
2000,25,Total,2564133,289686,581038,507659,715914,340811,129025
2000,26,Hombres,1134272,129606,249245,217739,332321,152653,52708
2000,26,Mujeres,1115299,124034,238477,215313,328975,151002,57498
2000,26,Total,2249571,253640,487722,433052,661296,303655,110206
2000,27,Hombres,956831,116915,231993,194468,264518,111498,37439
2000,27,Mujeres,968276,113179,227908,205684,274092,109221,38192
2000,27,Total,1925107,230094,459901,400152,538610,220719,75631
2000,28,Hombres,1391490,159375,301641,269668,412647,182098,66061
2000,28,Mujeres,1407149,152742,290528,274413,421559,190928,76979
2000,28,Total,2798639,312117,592169,544081,834206,373026,143040
2000,29,Hombres,484097,61015,117622,98081,129136,55190,23053
2000,29,Mujeres,501607,58898,114316,102780,139895,59153,26565
2000,29,Total,985704,119913,231938,200861,269031,114343,49618
2000,30,Hombres,3423457,399067,808596,648789,917052,472658,177295
2000,30,Mujeres,3581385,384996,785933,690040,1005849,506420,208147
2000,30,Total,7004842,784063,1594529,1338829,1922901,979078,385442
2000,31,Hombres,839631,95668,190758,165720,227454,112622,47409
2000,31,Mujeres,850321,91808,184547,168992,235516,117722,51736
2000,31,Total,1689952,187476,375305,334712,462970,230344,99145
2000,32,Hombres,666476,84979,166785,128635,163454,82430,40193
2000,32,Mujeres,704154,81687,163421,142054,185218,88423,43351
2000,32,Total,1370630,166666,330206,270689,348672,170853,83544
2001,1,Hombres,480841,62637,118495,93791,130089,56344,19485
2001,1,Mujeres,506679,60387,115701,100275,144281,61760,24275
2001,1,Total,987520,123024,234196,194066,274370,118104,43760
2001,2,Hombres,1300854,148303,281885,253446,412163,158264,46793
2001,2,Mujeres,1265049,142209,269222,247873,392475,159436,53834
2001,2,Total,2565903,290512,551107,501319,804638,317700,100627
2001,3,Hombres,231078,24901,49150,45366,72756,30099,8806
2001,3,Mujeres,219014,23830,46419,43224,68454,27763,9324
2001,3,Total,450092,48731,95569,88590,141210,57862,18130
2001,4,Hombres,359339,42221,84078,70759,100081,45454,16746
2001,4,Mujeres,358241,40925,81783,72700,102158,44228,16447
2001,4,Total,717580,83146,165861,143459,202239,89682,33193
2001,5,Hombres,1186966,136981,262641,228305,346678,158230,54131
2001,5,Mujeres,1190917,131800,252050,227483,353899,163305,62380
2001,5,Total,2377883,268781,514691,455788,700577,321535,116511
2001,6,Hombres,273856,30417,61069,53061,78277,37351,13681
2001,6,Mujeres,277251,28947,58402,54722,82149,37745,15286
2001,6,Total,551107,59364,119471,107783,160426,75096,28967
2001,7,Hombres,2015861,275086,527130,406370,505188,225952,76135
2001,7,Mujeres,2040806,266440,515134,426214,532812,222731,77475
2001,7,Total,4056667,541526,1042264,832584,1038000,448683,153610
2001,8,Hombres,1563392,179638,346907,300182,462757,202422,71486
2001,8,Mujeres,1558671,172621,332525,295827,464265,211941,81492
2001,8,Total,3122063,352259,679432,596009,927022,414363,152978
2001,9,Hombres,4181018,379645,791711,791012,1358159,643505,216986
2001,9,Mujeres,4513132,364984,770668,824019,1469928,757435,326098
2001,9,Total,8694150,744629,1562379,1615031,2828087,1400940,543084
2001,10,Hombres,732499,91282,177745,141058,189680,94011,38723
2001,10,Mujeres,753635,87702,171943,146540,206116,99405,41929
2001,10,Total,1486134,178984,349688,287598,395796,193416,80652
2001,11,Hombres,2304450,298927,578491,450240,592610,273552,110630
2001,11,Mujeres,2480995,288849,572863,502912,682455,302173,131743
2001,11,Total,4785445,587776,1151354,953152,1275065,575725,242373
2001,12,Hombres,1529012,208549,404164,296593,360784,182981,75941
2001,12,Mujeres,1611275,202133,396095,318398,404964,200477,89208
2001,12,Total,3140287,410682,800259,614991,765748,383458,165149
2001,13,Hombres,1120895,137041,272328,213559,292313,148899,56755
2001,13,Mujeres,1183728,132049,266467,232357,329307,156546,67002
2001,13,Total,2304623,269090,538795,445916,621620,305445,123757
2001,14,Hombres,3185048,384182,742199,623404,865939,410285,159039
2001,14,Mujeres,3329157,369348,720288,655687,944513,446498,192823
2001,14,Total,6514205,753530,1462487,1279091,1810452,856783,351862
2001,15,Hombres,6601593,751780,1496331,1310283,1969749,835545,237905
2001,15,Mujeres,6825328,725568,1456656,1361195,2093918,887859,300132
2001,15,Total,13426921,1477348,2952987,2671478,4063667,1723404,538037
2001,16,Hombres,1953425,247733,488218,378978,482478,245623,110395
2001,16,Mujeres,2096190,239469,482708,421284,555281,269641,127807
2001,16,Total,4049615,487202,970926,800262,1037759,515264,238202
2001,17,Hombres,768879,88871,176874,146243,210427,105461,41003
2001,17,Mujeres,816117,85944,172433,157222,236518,114890,49110
